Season,Block,Treatment,PlotID,Date,DAP,Organ,value
2024,1,AC,2,2024-09-08,118,dead_canopy,275.84243089226
2024,1,HE,3,2024-09-08,118,dead_canopy,167.85690888265
2024,2,AC,4,2024-09-08,118,dead_canopy,229.430452959053
2024,2,HTI,5,2024-09-08,118,dead_canopy,300.734952145143
2024,2,HE,6,2024-09-08,118,dead_canopy,244.952473641525
2024,3,HE,7,2024-09-08,118,dead_canopy,196.438242338297
2024,3,HTI,8,2024-09-08,118,dead_canopy,215.973685152199
2024,3,AC,9,2024-09-08,118,dead_canopy,191.899472943277
2024,4,AC,10,2024-09-08,118,dead_canopy,130.399923718799
2024,4,HE,11,2024-09-08,118,dead_canopy,197.596274576326
2024,4,HTI,12,2024-09-08,118,dead_canopy,189.856166532798
2025,1,HB,1,2025-07-02,56,dead_canopy,3.35555555555556
2025,1,AC,2,2025-07-02,56,dead_canopy,2.77777777777778
2025,1,HTI,3,2025-07-02,56,dead_canopy,3.45925925925926
2025,2,AC,4,2025-07-02,56,dead_canopy,7.06666666666667
2025,2,HB,5,2025-07-02,56,dead_canopy,1.18518518518519
2025,2,HTI,6,2025-07-02,56,dead_canopy,3.1037037037037
2025,3,HTI,7,2025-07-02,56,dead_canopy,8.44444444444445
2025,3,AC,9,2025-07-02,56,dead_canopy,2.45185185185185
2025,4,AC,10,2025-07-02,56,dead_canopy,4.65925925925926
2025,4,HTI,11,2025-07-02,56,dead_canopy,1.42962962962963
2025,4,HB,12,2025-07-02,56,dead_canopy,4.53333333333333
2025,1,HB,1,2025-07-14,68,dead_canopy,8.54074074074074
2025,1,AC,2,2025-07-14,68,dead_canopy,10.1037037037037
2025,1,HTI,3,2025-07-14,68,dead_canopy,4.61481481481482
2025,2,AC,4,2025-07-14,68,dead_canopy,5.9037037037037
2025,2,HB,5,2025-07-14,68,dead_canopy,13.8
2025,2,HTI,6,2025-07-14,68,dead_canopy,7.71111111111111
2025,3,HTI,7,2025-07-14,68,dead_canopy,14.6740740740741
2025,3,AC,9,2025-07-14,68,dead_canopy,4.28888888888889
2025,4,AC,10,2025-07-14,68,dead_canopy,15.3481481481481
2025,4,HTI,11,2025-07-14,68,dead_canopy,14.6148148148148
2025,4,HB,12,2025-07-14,68,dead_canopy,7.54814814814815
2025,1,HB,1,2025-07-29,83,dead_canopy,106.351926904878
2025,1,AC,2,2025-07-29,83,dead_canopy,78.730267744241
2025,1,HTI,3,2025-07-29,83,dead_canopy,58.8163790606249
2025,2,AC,4,2025-07-29,83,dead_canopy,81.8439268963287
2025,2,HB,5,2025-07-29,83,dead_canopy,76.1604057804575
2025,2,HTI,6,2025-07-29,83,dead_canopy,51.6989162929746
2025,3,HTI,7,2025-07-29,83,dead_canopy,69.3744072478179
2025,3,AC,9,2025-07-29,83,dead_canopy,40.8567720285242
2025,4,AC,10,2025-07-29,83,dead_canopy,80.6640972554016
2025,4,HTI,11,2025-07-29,83,dead_canopy,61.3508733624454
2025,4,HB,12,2025-07-29,83,dead_canopy,30.2962962962963
2025,1,HB,1,2025-08-11,96,dead_canopy,227.1049821395
2025,1,AC,2,2025-08-11,96,dead_canopy,211.533256968309
2025,1,HTI,3,2025-08-11,96,dead_canopy,211.775321435425
2025,2,AC,4,2025-08-11,96,dead_canopy,227.293465192942
2025,2,HB,5,2025-08-11,96,dead_canopy,164.207588075881
2025,2,HTI,6,2025-08-11,96,dead_canopy,188.122038870554
2025,3,HTI,7,2025-08-11,96,dead_canopy,230.1994661328
2025,3,AC,9,2025-08-11,96,dead_canopy,180.973008130081
2025,4,AC,10,2025-08-11,96,dead_canopy,184.089319151065
2025,4,HTI,11,2025-08-11,96,dead_canopy,222.694843007038
2025,4,HB,12,2025-08-11,96,dead_canopy,144.827783722986
2025,1,HB,1,2025-08-26,111,dead_canopy,188.414944314944
2025,1,AC,2,2025-08-26,111,dead_canopy,200.604835390947
2025,1,HTI,3,2025-08-26,111,dead_canopy,164.467973856209
2025,2,AC,4,2025-08-26,111,dead_canopy,201.921885521886
2025,2,HB,5,2025-08-26,111,dead_canopy,141.498783454988
2025,2,HTI,6,2025-08-26,111,dead_canopy,174.035066981876
2025,3,HTI,7,2025-08-26,111,dead_canopy,154.078966620942
2025,3,AC,9,2025-08-26,111,dead_canopy,120.694238683128
2025,4,AC,10,2025-08-26,111,dead_canopy,197.464009047215
2025,4,HTI,11,2025-08-26,111,dead_canopy,201.997563352827
2025,4,HB,12,2025-08-26,111,dead_canopy,157.956296296296
2024,1,AC,2,2024-06-24,42,leaf,44.4739863432879
2024,1,HE,3,2024-06-24,42,leaf,41.0077046709323
2024,2,AC,4,2024-06-24,42,leaf,50.4155096301625
2024,2,HE,6,2024-06-24,42,leaf,38.2230919292567
2024,3,HE,7,2024-06-24,42,leaf,56.7322465009225
2024,3,AC,9,2024-06-24,42,leaf,32.8106679617431
2024,4,AC,10,2024-06-24,42,leaf,26.556565534001
2024,4,HE,11,2024-06-24,42,leaf,44.0596591483767
2024,1,AC,2,2024-07-05,53,leaf,81.0924950320921
2024,1,HE,3,2024-07-05,53,leaf,122.961542468176
2024,2,AC,4,2024-07-05,53,leaf,137.321239950814
2024,2,HE,6,2024-07-05,53,leaf,142.867314327323
2024,3,HE,7,2024-07-05,53,leaf,139.30458883422
2024,3,AC,9,2024-07-05,53,leaf,151.753203801179
2024,4,AC,10,2024-07-05,53,leaf,117.284688830433
2024,4,HE,11,2024-07-05,53,leaf,131.964639670873
2024,1,HTI,1,2024-07-15,63,leaf,171.388218812064
2024,1,AC,2,2024-07-15,63,leaf,146.484407366079
2024,2,AC,4,2024-07-15,63,leaf,211.680012533562
2024,2,HTI,5,2024-07-15,63,leaf,192.393322002044
2024,3,HTI,8,2024-07-15,63,leaf,192.87246590888
2024,3,AC,9,2024-07-15,63,leaf,232.171441833311
2024,4,AC,10,2024-07-15,63,leaf,191.054138644463
2024,4,HTI,12,2024-07-15,63,leaf,191.143304844009
2024,1,HTI,1,2024-07-29,77,leaf,229.387837084871
2024,1,AC,2,2024-07-29,77,leaf,211.986682722281
2024,1,HE,3,2024-07-29,77,leaf,225.746459330333
2024,2,AC,4,2024-07-29,77,leaf,203.81496765011
2024,2,HTI,5,2024-07-29,77,leaf,222.302292807142
2024,2,HE,6,2024-07-29,77,leaf,200.225496293368
2024,3,HE,7,2024-07-29,77,leaf,169.986541574504
2024,3,HTI,8,2024-07-29,77,leaf,157.641552416017
2024,3,AC,9,2024-07-29,77,leaf,189.102446616186
2024,4,AC,10,2024-07-29,77,leaf,167.795531153265
2024,4,HE,11,2024-07-29,77,leaf,190.217000613417
2024,4,HTI,12,2024-07-29,77,leaf,188.476816295539
2024,1,HTI,1,2024-08-19,98,leaf,66.5994589759287
2024,1,AC,2,2024-08-19,98,leaf,93.0303451511816
2024,1,HE,3,2024-08-19,98,leaf,79.1090413419465
2024,2,AC,4,2024-08-19,98,leaf,69.2786208217321
2024,2,HTI,5,2024-08-19,98,leaf,60.8952308655257
2024,2,HE,6,2024-08-19,98,leaf,120.569255184095
2024,3,HE,7,2024-08-19,98,leaf,48.5419287808652
2024,3,HTI,8,2024-08-19,98,leaf,95.7546446789764
2024,3,AC,9,2024-08-19,98,leaf,86.3771560121016
2024,4,AC,10,2024-08-19,98,leaf,53.5916696312107
2024,4,HE,11,2024-08-19,98,leaf,49.3185724059997
2024,4,HTI,12,2024-08-19,98,leaf,105.871696550027
2024,1,HTI,1,2024-09-08,118,leaf,0
2024,1,AC,2,2024-09-08,118,leaf,0
2024,1,HE,3,2024-09-08,118,leaf,0
2024,2,AC,4,2024-09-08,118,leaf,0
2024,2,HTI,5,2024-09-08,118,leaf,0
2024,2,HE,6,2024-09-08,118,leaf,0
2024,3,HE,7,2024-09-08,118,leaf,0
2024,3,HTI,8,2024-09-08,118,leaf,0
2024,3,AC,9,2024-09-08,118,leaf,0
2024,4,AC,10,2024-09-08,118,leaf,0
2024,4,HE,11,2024-09-08,118,leaf,0
2024,4,HTI,12,2024-09-08,118,leaf,0
2025,1,HB,1,2025-07-02,56,leaf,156.515930502296
2025,1,AC,2,2025-07-02,56,leaf,162.033370902602
2025,1,HTI,3,2025-07-02,56,leaf,172.781878005568
2025,2,AC,4,2025-07-02,56,leaf,139.89835090565
2025,2,HB,5,2025-07-02,56,leaf,125.851533576544
2025,2,HTI,6,2025-07-02,56,leaf,155.146296296296
2025,3,HTI,7,2025-07-02,56,leaf,201.042322234419
2025,3,AC,9,2025-07-02,56,leaf,154.635104669887
2025,4,AC,10,2025-07-02,56,leaf,218.103009259259
2025,4,HTI,11,2025-07-02,56,leaf,182.537572649573
2025,4,HB,12,2025-07-02,56,leaf,165.860724321935
2025,1,HB,1,2025-07-14,68,leaf,187.376469723692
2025,1,AC,2,2025-07-14,68,leaf,163.271023575052
2025,1,HTI,3,2025-07-14,68,leaf,197.924879866627
2025,2,AC,4,2025-07-14,68,leaf,178.958252647372
2025,2,HB,5,2025-07-14,68,leaf,135.806452674897
2025,2,HTI,6,2025-07-14,68,leaf,168.90604058297
2025,3,HTI,7,2025-07-14,68,leaf,200.939571150098
2025,3,AC,9,2025-07-14,68,leaf,140.187506909895
2025,4,AC,10,2025-07-14,68,leaf,215.137228862329
2025,4,HTI,11,2025-07-14,68,leaf,157.103703703704
2025,4,HB,12,2025-07-14,68,leaf,172.110938845823
2025,1,HB,1,2025-07-29,83,leaf,87.2962634911262
2025,1,AC,2,2025-07-29,83,leaf,104.030288927671
2025,1,HTI,3,2025-07-29,83,leaf,123.448518824863
2025,2,AC,4,2025-07-29,83,leaf,125.450694444444
2025,2,HB,5,2025-07-29,83,leaf,47.4071469271469
2025,2,HTI,6,2025-07-29,83,leaf,85.6750765265023
2025,3,HTI,7,2025-07-29,83,leaf,89.570602153653
2025,3,AC,9,2025-07-29,83,leaf,110.363418146904
2025,4,AC,10,2025-07-29,83,leaf,156.221653274222
2025,4,HTI,11,2025-07-29,83,leaf,146.183128295255
2025,4,HB,12,2025-07-29,83,leaf,108.599763070252
2025,1,HB,1,2025-08-11,96,leaf,6.14814814814815
2025,1,AC,2,2025-08-11,96,leaf,5.12592592592593
2025,1,HTI,3,2025-08-11,96,leaf,3.41481481481482
2025,2,AC,4,2025-08-11,96,leaf,8.60740740740741
2025,2,HB,5,2025-08-11,96,leaf,0
2025,2,HTI,6,2025-08-11,96,leaf,5.95555555555556
2025,3,HTI,7,2025-08-11,96,leaf,7.45185185185185
2025,3,AC,9,2025-08-11,96,leaf,1.52592592592593
2025,4,AC,10,2025-08-11,96,leaf,28.753925431628
2025,4,HTI,11,2025-08-11,96,leaf,6.8
2025,4,HB,12,2025-08-11,96,leaf,7.74074074074074
2025,1,HB,1,2025-08-26,111,leaf,0
2025,1,AC,2,2025-08-26,111,leaf,0
2025,1,HTI,3,2025-08-26,111,leaf,0
2025,2,AC,4,2025-08-26,111,leaf,0
2025,2,HB,5,2025-08-26,111,leaf,0
2025,2,HTI,6,2025-08-26,111,leaf,0
2025,3,HTI,7,2025-08-26,111,leaf,0
2025,3,AC,9,2025-08-26,111,leaf,0
2025,4,AC,10,2025-08-26,111,leaf,0
2025,4,HTI,11,2025-08-26,111,leaf,0
2025,4,HB,12,2025-08-26,111,leaf,0
2024,1,AC,2,2024-06-24,42,stem,18.1750250307339
2024,1,HE,3,2024-06-24,42,stem,14.4262443294775
2024,2,AC,4,2024-06-24,42,stem,17.6192161194254
2024,2,HE,6,2024-06-24,42,stem,13.9731112177467
2024,3,HE,7,2024-06-24,42,stem,15.2856301945301
2024,3,AC,9,2024-06-24,42,stem,13.278438512258
2024,4,AC,10,2024-06-24,42,stem,16.6481376995141
2024,4,HE,11,2024-06-24,42,stem,17.0866016542486
2024,1,AC,2,2024-07-05,53,stem,36.7453889963558
2024,1,HE,3,2024-07-05,53,stem,44.9851287938292
2024,2,AC,4,2024-07-05,53,stem,52.9687218205754
2024,2,HE,6,2024-07-05,53,stem,49.0834419524865
2024,3,HE,7,2024-07-05,53,stem,47.2609054453621
2024,3,AC,9,2024-07-05,53,stem,47.9902824287953
2024,4,AC,10,2024-07-05,53,stem,43.5866433362496
2024,4,HE,11,2024-07-05,53,stem,52.8295457883528
2024,1,HTI,1,2024-07-15,63,stem,91.9303019108881
2024,1,AC,2,2024-07-15,63,stem,83.3366322471056
2024,2,AC,4,2024-07-15,63,stem,105.913383647894
2024,2,HTI,5,2024-07-15,63,stem,79.441943518799
2024,3,HTI,8,2024-07-15,63,stem,88.1596857697101
2024,3,AC,9,2024-07-15,63,stem,117.32997560513
2024,4,AC,10,2024-07-15,63,stem,101.820611916264
2024,4,HTI,12,2024-07-15,63,stem,101.736578696951
2024,1,HTI,1,2024-07-29,77,stem,127.787880956313
2024,1,AC,2,2024-07-29,77,stem,95.2134208995191
2024,1,HE,3,2024-07-29,77,stem,89.3565985231929
2024,2,AC,4,2024-07-29,77,stem,122.651173972172
2024,2,HTI,5,2024-07-29,77,stem,145.330107526882
2024,2,HE,6,2024-07-29,77,stem,111.149279507972
2024,3,HE,7,2024-07-29,77,stem,82.2411050056188
2024,3,HTI,8,2024-07-29,77,stem,81.3322125073263
2024,3,AC,9,2024-07-29,77,stem,84.9084002584695
2024,4,AC,10,2024-07-29,77,stem,84.2507000465345
2024,4,HE,11,2024-07-29,77,stem,86.2380038046253
2024,4,HTI,12,2024-07-29,77,stem,87.2106520032627
2024,1,HTI,1,2024-08-19,98,stem,85.0939930946858
2024,1,AC,2,2024-08-19,98,stem,89.3019735513446
2024,1,HE,3,2024-08-19,98,stem,83.4696431699069
2024,2,AC,4,2024-08-19,98,stem,93.2451454254652
2024,2,HTI,5,2024-08-19,98,stem,80.0512546211643
2024,2,HE,6,2024-08-19,98,stem,70.2397624407449
2024,3,HE,7,2024-08-19,98,stem,65.7531478869088
2024,3,HTI,8,2024-08-19,98,stem,72.4259617431026
2024,3,AC,9,2024-08-19,98,stem,67.9495105914163
2024,4,AC,10,2024-08-19,98,stem,47.8817781829321
2024,4,HE,11,2024-08-19,98,stem,72.4070184764285
2024,4,HTI,12,2024-08-19,98,stem,66.0524528290456
2024,1,HTI,1,2024-09-08,118,stem,0
2024,1,AC,2,2024-09-08,118,stem,0
2024,1,HE,3,2024-09-08,118,stem,0
2024,2,AC,4,2024-09-08,118,stem,0
2024,2,HTI,5,2024-09-08,118,stem,0
2024,2,HE,6,2024-09-08,118,stem,0
2024,3,HE,7,2024-09-08,118,stem,0
2024,3,HTI,8,2024-09-08,118,stem,0
2024,3,AC,9,2024-09-08,118,stem,0
2024,4,AC,10,2024-09-08,118,stem,0
2024,4,HE,11,2024-09-08,118,stem,0
2024,4,HTI,12,2024-09-08,118,stem,0
2025,1,HB,1,2025-07-02,56,stem,73.4623299134105
2025,1,AC,2,2025-07-02,56,stem,87.357801775858
2025,1,HTI,3,2025-07-02,56,stem,120.421007798786
2025,2,AC,4,2025-07-02,56,stem,71.768750937172
2025,2,HB,5,2025-07-02,56,stem,70.3841472045294
2025,2,HTI,6,2025-07-02,56,stem,83.6679134580125
2025,3,HTI,7,2025-07-02,56,stem,129.678136739294
2025,3,AC,9,2025-07-02,56,stem,72.5805949327213
2025,4,AC,10,2025-07-02,56,stem,93.9575681791116
2025,4,HTI,11,2025-07-02,56,stem,113.685186571821
2025,4,HB,12,2025-07-02,56,stem,82.1252300177323
2025,1,HB,1,2025-07-14,68,stem,75.4428140885984
2025,1,AC,2,2025-07-14,68,stem,75.4370370370371
2025,1,HTI,3,2025-07-14,68,stem,95.5699880525687
2025,2,AC,4,2025-07-14,68,stem,71.5881152263375
2025,2,HB,5,2025-07-14,68,stem,59.666431463618
2025,2,HTI,6,2025-07-14,68,stem,82.4442007375341
2025,3,HTI,7,2025-07-14,68,stem,113.49543602282
2025,3,AC,9,2025-07-14,68,stem,57.9402510808981
2025,4,AC,10,2025-07-14,68,stem,103.318303226024
2025,4,HTI,11,2025-07-14,68,stem,88.0639711741676
2025,4,HB,12,2025-07-14,68,stem,90.3147634537465
2025,1,HB,1,2025-07-29,83,stem,101.007319153943
2025,1,AC,2,2025-07-29,83,stem,81.2978412527322
2025,1,HTI,3,2025-07-29,83,stem,80.1754487510767
2025,2,AC,4,2025-07-29,83,stem,88.271295473251
2025,2,HB,5,2025-07-29,83,stem,56.2979423868313
2025,2,HTI,6,2025-07-29,83,stem,62.6789875451989
2025,3,HTI,7,2025-07-29,83,stem,85.2041741034245
2025,3,AC,9,2025-07-29,83,stem,58.0185439444021
2025,4,AC,10,2025-07-29,83,stem,115.052523420973
2025,4,HTI,11,2025-07-29,83,stem,103.755940818441
2025,4,HB,12,2025-07-29,83,stem,71.0633504761082
2025,1,HB,1,2025-08-11,96,stem,36.762962962963
2025,1,AC,2,2025-08-11,96,stem,28.437037037037
2025,1,HTI,3,2025-08-11,96,stem,20.6074074074074
2025,2,AC,4,2025-08-11,96,stem,33.7111111111111
2025,2,HB,5,2025-08-11,96,stem,0
2025,2,HTI,6,2025-08-11,96,stem,25.8740740740741
2025,3,HTI,7,2025-08-11,96,stem,38.1777777777778
2025,3,AC,9,2025-08-11,96,stem,20.2962962962963
2025,4,AC,10,2025-08-11,96,stem,96.0416781927156
2025,4,HTI,11,2025-08-11,96,stem,35.5407407407408
2025,4,HB,12,2025-08-11,96,stem,34.637037037037
2025,1,HB,1,2025-08-26,111,stem,0
2025,1,AC,2,2025-08-26,111,stem,0
2025,1,HTI,3,2025-08-26,111,stem,0
2025,2,AC,4,2025-08-26,111,stem,0
2025,2,HB,5,2025-08-26,111,stem,0
2025,2,HTI,6,2025-08-26,111,stem,0
2025,3,HTI,7,2025-08-26,111,stem,0
2025,3,AC,9,2025-08-26,111,stem,0
2025,4,AC,10,2025-08-26,111,stem,0
2025,4,HTI,11,2025-08-26,111,stem,0
2025,4,HB,12,2025-08-26,111,stem,0
2024,1,AC,2,2024-06-24,42,stolon,8.78518518518519
2024,1,HE,3,2024-06-24,42,stolon,7.37777777777778
2024,2,AC,4,2024-06-24,42,stolon,8.51851851851852
2024,2,HE,6,2024-06-24,42,stolon,5.52592592592593
2024,3,HE,7,2024-06-24,42,stolon,5.94074074074074
2024,3,AC,9,2024-06-24,42,stolon,7.24444444444444
2024,4,AC,10,2024-06-24,42,stolon,11.7037037037037
2024,4,HE,11,2024-06-24,42,stolon,9.28888888888889
2024,1,AC,2,2024-07-05,53,stolon,13.4962962962963
2024,1,HE,3,2024-07-05,53,stolon,16.1333333333333
2024,2,AC,4,2024-07-05,53,stolon,16.5333333333333
2024,2,HE,6,2024-07-05,53,stolon,13.8666666666667
2024,3,HE,7,2024-07-05,53,stolon,15.0074074074074
2024,3,AC,9,2024-07-05,53,stolon,14.4444444444444
2024,4,AC,10,2024-07-05,53,stolon,12.7407407407407
2024,4,HE,11,2024-07-05,53,stolon,18.0444444444445
2024,1,HTI,1,2024-07-15,63,stolon,15.4962962962963
2024,1,AC,2,2024-07-15,63,stolon,24.562962962963
2024,2,AC,4,2024-07-15,63,stolon,23.9407407407407
2024,2,HTI,5,2024-07-15,63,stolon,15.2296296296296
2024,3,HTI,8,2024-07-15,63,stolon,19.6444444444444
2024,3,AC,9,2024-07-15,63,stolon,30.9481481481481
2024,4,AC,10,2024-07-15,63,stolon,23.4518518518519
2024,4,HTI,12,2024-07-15,63,stolon,23.6148148148148
2024,1,HTI,1,2024-07-29,77,stolon,23.7481481481482
2024,1,AC,2,2024-07-29,77,stolon,24.8592592592593
2024,1,HE,3,2024-07-29,77,stolon,19.4666666666667
2024,2,AC,4,2024-07-29,77,stolon,26.4
2024,2,HTI,5,2024-07-29,77,stolon,29.7777777777778
2024,2,HE,6,2024-07-29,77,stolon,20.1925925925926
2024,3,HE,7,2024-07-29,77,stolon,15.4666666666667
2024,3,HTI,8,2024-07-29,77,stolon,23.1259259259259
2024,3,AC,9,2024-07-29,77,stolon,17.037037037037
2024,4,AC,10,2024-07-29,77,stolon,27.0222222222222
2024,4,HE,11,2024-07-29,77,stolon,19.437037037037
2024,4,HTI,12,2024-07-29,77,stolon,16.4296296296296
2024,1,HTI,1,2024-08-19,98,stolon,21.037037037037
2024,1,AC,2,2024-08-19,98,stolon,15.437037037037
2024,1,HE,3,2024-08-19,98,stolon,13.5259259259259
2024,2,AC,4,2024-08-19,98,stolon,16
2024,2,HTI,5,2024-08-19,98,stolon,15.8222222222222
2024,2,HE,6,2024-08-19,98,stolon,14.1185185185185
2024,3,HE,7,2024-08-19,98,stolon,12.1777777777778
2024,3,HTI,8,2024-08-19,98,stolon,17.4814814814815
2024,3,AC,9,2024-08-19,98,stolon,14.162962962963
2024,4,AC,10,2024-08-19,98,stolon,11.6296296296296
2024,4,HE,11,2024-08-19,98,stolon,16.8296296296296
2024,4,HTI,12,2024-08-19,98,stolon,15.3925925925926
2024,1,HTI,1,2024-09-08,118,stolon,
2024,1,AC,2,2024-09-08,118,stolon,
2024,1,HE,3,2024-09-08,118,stolon,
2024,2,AC,4,2024-09-08,118,stolon,
2024,2,HTI,5,2024-09-08,118,stolon,
2024,2,HE,6,2024-09-08,118,stolon,
2024,3,HE,7,2024-09-08,118,stolon,
2024,3,HTI,8,2024-09-08,118,stolon,
2024,3,AC,9,2024-09-08,118,stolon,
2024,4,AC,10,2024-09-08,118,stolon,
2024,4,HE,11,2024-09-08,118,stolon,
2024,4,HTI,12,2024-09-08,118,stolon,
2025,1,HB,1,2025-07-02,56,stolon,24.8592592592593
2025,1,AC,2,2025-07-02,56,stolon,31.8888888888889
2025,1,HTI,3,2025-07-02,56,stolon,38.962962962963
2025,2,AC,4,2025-07-02,56,stolon,18.037037037037
2025,2,HB,5,2025-07-02,56,stolon,27.6148148148148
2025,2,HTI,6,2025-07-02,56,stolon,25.8666666666667
2025,3,HTI,7,2025-07-02,56,stolon,33.9703703703704
2025,3,AC,9,2025-07-02,56,stolon,26.437037037037
2025,4,AC,10,2025-07-02,56,stolon,24.8296296296296
2025,4,HTI,11,2025-07-02,56,stolon,33.8
2025,4,HB,12,2025-07-02,56,stolon,28.5185185185185
2025,1,HB,1,2025-07-14,68,stolon,21.2740740740741
2025,1,AC,2,2025-07-14,68,stolon,25.3333333333333
2025,1,HTI,3,2025-07-14,68,stolon,31.2518518518519
2025,2,AC,4,2025-07-14,68,stolon,20.7777777777778
2025,2,HB,5,2025-07-14,68,stolon,18.837037037037
2025,2,HTI,6,2025-07-14,68,stolon,27.6962962962963
2025,3,HTI,7,2025-07-14,68,stolon,26.6296296296296
2025,3,AC,9,2025-07-14,68,stolon,19.2222222222222
2025,4,AC,10,2025-07-14,68,stolon,24.2666666666667
2025,4,HTI,11,2025-07-14,68,stolon,23.762962962963
2025,4,HB,12,2025-07-14,68,stolon,26.2740740740741
2025,1,HB,1,2025-07-29,83,stolon,25.6148148148148
2025,1,AC,2,2025-07-29,83,stolon,23.6814814814815
2025,1,HTI,3,2025-07-29,83,stolon,24.0888888888889
2025,2,AC,4,2025-07-29,83,stolon,23.3111111111111
2025,2,HB,5,2025-07-29,83,stolon,20.3555555555556
2025,2,HTI,6,2025-07-29,83,stolon,21.8740740740741
2025,3,HTI,7,2025-07-29,83,stolon,21.3396825396825
2025,3,AC,9,2025-07-29,83,stolon,22.9259259259259
2025,4,AC,10,2025-07-29,83,stolon,29.0074074074074
2025,4,HTI,11,2025-07-29,83,stolon,25.1777777777778
2025,4,HB,12,2025-07-29,83,stolon,24.6148148148148
2025,1,HB,1,2025-08-11,96,stolon,20.162962962963
2025,1,AC,2,2025-08-11,96,stolon,15.1259259259259
2025,1,HTI,3,2025-08-11,96,stolon,19.1925925925926
2025,2,AC,4,2025-08-11,96,stolon,19.4888888888889
2025,2,HB,5,2025-08-11,96,stolon,12.9481481481481
2025,2,HTI,6,2025-08-11,96,stolon,17.8222222222222
2025,3,HTI,7,2025-08-11,96,stolon,23.7185185185185
2025,3,AC,9,2025-08-11,96,stolon,17.6
2025,4,AC,10,2025-08-11,96,stolon,25.9777777777778
2025,4,HTI,11,2025-08-11,96,stolon,20.1555555555556
2025,4,HB,12,2025-08-11,96,stolon,16.762962962963
2025,1,HB,1,2025-08-26,111,stolon,
2025,1,AC,2,2025-08-26,111,stolon,
2025,1,HTI,3,2025-08-26,111,stolon,
2025,2,AC,4,2025-08-26,111,stolon,
2025,2,HB,5,2025-08-26,111,stolon,
2025,2,HTI,6,2025-08-26,111,stolon,
2025,3,HTI,7,2025-08-26,111,stolon,
2025,3,AC,9,2025-08-26,111,stolon,
2025,4,AC,10,2025-08-26,111,stolon,
2025,4,HTI,11,2025-08-26,111,stolon,
2025,4,HB,12,2025-08-26,111,stolon,
