Season,Date,PlotID,Block,Treatment,canopy_temp,DAP
2024,2024-07-25,2,1,AC,19.977,73
2024,2024-07-25,3,1,HE,20.175,73
2024,2024-07-25,4,2,AC,20.478,73
2024,2024-07-25,5,2,HTI,20.387,73
2024,2024-07-25,6,2,HE,19.971,73
2024,2024-07-25,7,3,HE,20.635,73
2024,2024-07-25,8,3,HTI,21.113,73
2024,2024-07-25,9,3,AC,21.637,73
2024,2024-07-25,10,4,AC,20.5,73
2024,2024-07-25,11,4,HE,20.704,73
2024,2024-07-25,12,4,HTI,20.289,73
2024,2024-08-01,1,1,HTI,18.796,80
2024,2024-08-01,2,1,AC,20.456,80
2024,2024-08-01,3,1,HE,19.22,80
2024,2024-08-01,4,2,AC,19.291,80
2024,2024-08-01,5,2,HTI,20.451,80
2024,2024-08-01,6,2,HE,19.165,80
2024,2024-08-01,7,3,HE,18.993,80
2024,2024-08-01,8,3,HTI,20.903,80
2024,2024-08-01,9,3,AC,19.452,80
2024,2024-08-01,10,4,AC,19.273,80
2024,2024-08-01,11,4,HE,20.547,80
2024,2024-08-01,12,4,HTI,19.232,80
2024,2024-08-08,1,1,HTI,22.515,87
2024,2024-08-08,2,1,AC,21.625,87
2024,2024-08-08,3,1,HE,21.084,87
2024,2024-08-08,4,2,AC,21.749,87
2024,2024-08-08,5,2,HTI,22.246,87
2024,2024-08-08,6,2,HE,21.503,87
2024,2024-08-08,7,3,HE,22.665,87
2024,2024-08-08,8,3,HTI,22.547,87
2024,2024-08-08,9,3,AC,21.508,87
2024,2024-08-08,10,4,AC,21.51,87
2024,2024-08-08,11,4,HE,22.687,87
2024,2024-08-08,12,4,HTI,22.112,87
2024,2024-08-20,1,1,HTI,21.726,99
2024,2024-08-20,2,1,AC,19.185,99
2024,2024-08-20,3,1,HE,19.009,99
2024,2024-08-20,4,2,AC,21.955,99
2024,2024-08-20,5,2,HTI,20.607,99
2024,2024-08-20,6,2,HE,20.028,99
2024,2024-08-20,7,3,HE,21.903,99
2024,2024-08-20,8,3,HTI,20.979,99
2024,2024-08-20,9,3,AC,19.02,99
2024,2024-08-20,10,4,AC,20.897,99
2024,2024-08-20,11,4,HE,21.397,99
2024,2024-08-20,12,4,HTI,20.593,99
2024,2024-08-30,1,1,HTI,21.924,109
2024,2024-08-30,2,1,AC,21.486,109
2024,2024-08-30,3,1,HE,20.692,109
2024,2024-08-30,4,2,AC,20.892,109
2024,2024-08-30,5,2,HTI,21.821,109
2024,2024-08-30,6,2,HE,20.997,109
2024,2024-08-30,7,3,HE,20.431,109
2024,2024-08-30,8,3,HTI,21.177,109
2024,2024-08-30,9,3,AC,20.226,109
2024,2024-08-30,10,4,AC,20.354,109
2024,2024-08-30,11,4,HE,21.148,109
2024,2024-08-30,12,4,HTI,19.434,109
2024,2024-09-06,1,1,HTI,,116
2024,2024-09-06,2,1,AC,,116
2024,2024-09-06,3,1,HE,,116
2024,2024-09-06,4,2,AC,,116
2024,2024-09-06,5,2,HTI,,116
2024,2024-09-06,6,2,HE,,116
2024,2024-09-06,7,3,HE,,116
2024,2024-09-06,8,3,HTI,,116
2024,2024-09-06,9,3,AC,,116
2024,2024-09-06,10,4,AC,,116
2024,2024-09-06,11,4,HE,,116
2024,2024-09-06,12,4,HTI,,116
2025,2025-06-03,1,1,HB,19.3923,27
2025,2025-06-03,2,1,AC,20.3916,27
2025,2025-06-03,3,1,HTI,20.582,27
2025,2025-06-03,4,2,AC,19.8059,27
2025,2025-06-03,5,2,HB,20.2063,27
2025,2025-06-03,6,2,HTI,21.5249,27
2025,2025-06-03,7,3,HTI,19.6734,27
2025,2025-06-03,8,3,HB,20.1533,27
2025,2025-06-03,9,3,AC,21.5784,27
2025,2025-06-03,10,4,AC,20.2775,27
2025,2025-06-03,11,4,HTI,18.8097,27
2025,2025-06-03,12,4,HB,20.0591,27
2025,2025-06-10,1,1,HB,14.1857,34
2025,2025-06-10,2,1,AC,14.447,34
2025,2025-06-10,3,1,HTI,14.5477,34
2025,2025-06-10,4,2,AC,13.9467,34
2025,2025-06-10,5,2,HB,14.1747,34
2025,2025-06-10,6,2,HTI,14.376,34
2025,2025-06-10,7,3,HTI,14.0658,34
2025,2025-06-10,8,3,HB,14.2417,34
2025,2025-06-10,9,3,AC,14.5661,34
2025,2025-06-10,10,4,AC,13.9413,34
2025,2025-06-10,11,4,HTI,14.0765,34
2025,2025-06-10,12,4,HB,14.3155,34
2025,2025-06-18,1,1,HB,25.8804,42
2025,2025-06-18,2,1,AC,26.6165,42
2025,2025-06-18,3,1,HTI,26.2629,42
2025,2025-06-18,4,2,AC,26.0359,42
2025,2025-06-18,5,2,HB,26.4024,42
2025,2025-06-18,6,2,HTI,26.1953,42
2025,2025-06-18,7,3,HTI,26.1914,42
2025,2025-06-18,8,3,HB,26.5343,42
2025,2025-06-18,9,3,AC,25.7042,42
2025,2025-06-18,10,4,AC,25.5341,42
2025,2025-06-18,11,4,HTI,26.4148,42
2025,2025-06-18,12,4,HB,25.6767,42
2025,2025-07-02,1,1,HB,25.4129,56
2025,2025-07-02,2,1,AC,24.3861,56
2025,2025-07-02,3,1,HTI,22.7204,56
2025,2025-07-02,4,2,AC,25.8345,56
2025,2025-07-02,5,2,HB,24.4458,56
2025,2025-07-02,6,2,HTI,23.2325,56
2025,2025-07-02,7,3,HTI,25.7959,56
2025,2025-07-02,8,3,HB,24.6855,56
2025,2025-07-02,9,3,AC,23.0527,56
2025,2025-07-02,10,4,AC,26.0148,56
2025,2025-07-02,11,4,HTI,25.667,56
2025,2025-07-02,12,4,HB,24.3386,56
2025,2025-07-11,1,1,HB,23.1326,65
2025,2025-07-11,2,1,AC,23.8512,65
2025,2025-07-11,3,1,HTI,23.4626,65
2025,2025-07-11,4,2,AC,22.7249,65
2025,2025-07-11,5,2,HB,23.567,65
2025,2025-07-11,6,2,HTI,23.2936,65
2025,2025-07-11,7,3,HTI,23.3195,65
2025,2025-07-11,8,3,HB,24.0772,65
2025,2025-07-11,9,3,AC,23.8769,65
2025,2025-07-11,10,4,AC,23.3276,65
2025,2025-07-11,11,4,HTI,23.5501,65
2025,2025-07-11,12,4,HB,23.4587,65
2025,2025-07-18,1,1,HB,24.6876,72
2025,2025-07-18,2,1,AC,24.4342,72
2025,2025-07-18,3,1,HTI,23.4235,72
2025,2025-07-18,4,2,AC,25.0721,72
2025,2025-07-18,5,2,HB,25.7525,72
2025,2025-07-18,6,2,HTI,23.8885,72
2025,2025-07-18,7,3,HTI,25.5647,72
2025,2025-07-18,8,3,HB,25.1018,72
2025,2025-07-18,9,3,AC,23.4191,72
2025,2025-07-18,10,4,AC,25.5421,72
2025,2025-07-18,11,4,HTI,23.9105,72
2025,2025-07-18,12,4,HB,23.1282,72
2025,2025-07-30,1,1,HB,20.7577,84
2025,2025-07-30,2,1,AC,20.4372,84
2025,2025-07-30,3,1,HTI,19.9764,84
2025,2025-07-30,4,2,AC,20.2249,84
2025,2025-07-30,5,2,HB,20.4769,84
2025,2025-07-30,6,2,HTI,19.8438,84
2025,2025-07-30,7,3,HTI,19.7329,84
2025,2025-07-30,8,3,HB,19.5787,84
2025,2025-07-30,9,3,AC,19.3706,84
2025,2025-07-30,10,4,AC,19.9364,84
2025,2025-07-30,11,4,HTI,19.6948,84
2025,2025-07-30,12,4,HB,19.7498,84
2025,2025-08-07,1,1,HB,22.9483,92
2025,2025-08-07,2,1,AC,20.7831,92
2025,2025-08-07,3,1,HTI,20.2629,92
2025,2025-08-07,4,2,AC,21.1032,92
2025,2025-08-07,5,2,HB,21.3377,92
2025,2025-08-07,6,2,HTI,20.3949,92
2025,2025-08-07,7,3,HTI,21.7398,92
2025,2025-08-07,8,3,HB,21.3738,92
2025,2025-08-07,9,3,AC,19.7563,92
2025,2025-08-07,10,4,AC,22.3908,92
2025,2025-08-07,11,4,HTI,21.1208,92
2025,2025-08-07,12,4,HB,20.2446,92
